
2022-12-16 16:12:08,488 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,489 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,490 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,492 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,493 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,494 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,495 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,496 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,498 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,499 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,500 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,502 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,504 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,505 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,507 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,508 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,509 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,510 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,511 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,513 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,514 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,515 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,516 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,517 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,518 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,519 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,521 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,522 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,523 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,524 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,526 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,527 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,528 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,529 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,530 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,531 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,533 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,534 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,535 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,536 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,537 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,539 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,540 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,541 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,544 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,545 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,546 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
